,low_z,high_z,u-g,g-r,r-i,i-z,z-y
84,4.2,4.25,2.0999999046325684,1.8339999914169312,0.33399999141693115,0.13199999928474426,-0.103
85,4.25,4.3,1.8250000476837158,1.9149999618530273,0.24799999594688416,0.15700000524520874,-0.197
86,4.3,4.35,2.0510001182556152,1.6449999809265137,0.36000001430511475,0.18400000035762787,-0.061
87,4.35,4.4,1.9420000314712524,1.9459999799728394,0.5019999742507935,0.22300000488758087,-0.127
88,4.4,4.45,1.7380000352859497,2.072999954223633,0.4009999930858612,0.26899999380111694,-0.154
89,4.45,4.5,1.6449999809265137,2.0339999198913574,0.699999988079071,0.23800000548362732,-0.102
90,4.5,4.55,1.3559999465942383,2.0199999809265137,0.7649999856948853,0.1940000057220459,-0.07
91,4.55,4.6,1.625,1.7039999961853027,0.9160000085830688,0.13699999451637268,-0.141
92,4.6,4.65,1.13100004196167,2.1630001068115234,1.1979999542236328,0.1420000046491623,-0.13
93,4.65,4.7,0.7799999713897705,1.8819999694824219,1.0820000171661377,0.10700000077486038,-0.195
94,4.7,4.75,0.8130000233650208,1.7489999532699585,1.152999997138977,0.06499999761581421,-0.129
95,4.75,4.8,0.6940000057220459,2.046999931335449,1.1690000295639038,0.09700000286102295,-0.146
96,4.8,4.85,-0.10300000011920929,1.850000023841858,0.9850000143051147,0.19599999487400055,-0.324
97,4.85,4.9,0.5059999823570251,1.7680000066757202,1.0269999504089355,0.15600000321865082,-0.274
98,4.9,4.95,0.8299999833106995,2.0859999656677246,1.0789999961853027,0.21400000154972076,-0.223
99,4.95,5.0,0.5220000147819519,2.3329999446868896,1.315000057220459,0.15800000727176666,-0.181
